Age,_1st,_5th,_10th,_25th,_50th,_75th,_90th,_95th,_99th
20,"45.22 (44.71, 45.73)","50.96 (50.58, 51.33)","53.83 (53.49, 54.16)","58.60 (58.29, 58.92)","64.63 (64.29, 64.97)","71.84 (71.40, 72.28)","79.17 (78.57, 79.78)","83.99 (83.25, 84.73)"," 94.15 ( 93.05,  95.26)"
22,"45.28 (44.83, 45.73)","51.13 (50.80, 51.46)","54.05 (53.76, 54.35)","58.92 (58.64, 59.21)","65.07 (64.77, 65.37)","72.42 (72.05, 72.79)","79.90 (79.39, 80.40)","84.81 (84.19, 85.42)"," 95.17 ( 94.23,  96.11)"
24,"45.35 (44.93, 45.77)","51.31 (51.02, 51.61)","54.29 (54.03, 54.56)","59.25 (59.00, 59.51)","65.51 (65.25, 65.78)","73.00 (72.68, 73.32)","80.62 (80.19, 81.05)","85.62 (85.09, 86.15)"," 96.18 ( 95.34,  97.01)"
26,"45.44 (45.04, 45.84)","51.50 (51.23, 51.77)","54.53 (54.29, 54.77)","59.58 (59.36, 59.81)","65.95 (65.72, 66.19)","73.57 (73.28, 73.85)","81.32 (80.94, 81.70)","86.41 (85.94, 86.89)"," 97.15 ( 96.38,  97.92)"
28,"45.53 (45.14, 45.92)","51.69 (51.44, 51.95)","54.77 (54.56, 54.99)","59.91 (59.70, 60.11)","66.38 (66.17, 66.59)","74.12 (73.86, 74.38)","82.00 (81.64, 82.36)","87.17 (86.73, 87.62)"," 98.09 ( 97.35,  98.82)"
30,"45.63 (45.24, 46.02)","51.89 (51.64, 52.13)","55.01 (54.81, 55.21)","60.22 (60.04, 60.40)","66.79 (66.59, 66.99)","74.65 (74.39, 74.90)","82.64 (82.30, 82.99)","87.89 (87.46, 88.33)"," 98.97 ( 98.25,  99.69)"
32,"45.74 (45.35, 46.13)","52.08 (51.84, 52.32)","55.25 (55.06, 55.44)","60.52 (60.35, 60.69)","67.18 (66.99, 67.37)","75.14 (74.90, 75.38)","83.24 (82.91, 83.58)","88.57 (88.14, 88.99)"," 99.79 ( 99.09, 100.49)"
34,"45.85 (45.46, 46.25)","52.27 (52.03, 52.50)","55.47 (55.29, 55.66)","60.81 (60.65, 60.97)","67.55 (67.36, 67.73)","75.60 (75.36, 75.84)","83.80 (83.46, 84.13)","89.18 (88.77, 89.59)","100.54 ( 99.85, 101.23)"
36,"45.97 (45.58, 46.37)","52.45 (52.21, 52.68)","55.68 (55.50, 55.87)","61.08 (60.91, 61.24)","67.88 (67.70, 68.07)","76.01 (75.78, 76.25)","84.29 (83.97, 84.62)","89.73 (89.33, 90.14)","101.20 (100.53, 101.88)"
38,"46.09 (45.69, 46.48)","52.62 (52.38, 52.86)","55.88 (55.69, 56.07)","61.32 (61.15, 61.49)","68.18 (68.00, 68.37)","76.38 (76.15, 76.62)","84.73 (84.42, 85.05)","90.22 (89.83, 90.61)","101.78 (101.13, 102.44)"
40,"46.20 (45.81, 46.60)","52.78 (52.54, 53.02)","56.07 (55.87, 56.26)","61.54 (61.37, 61.72)","68.45 (68.26, 68.64)","76.70 (76.47, 76.94)","85.11 (84.80, 85.42)","90.63 (90.25, 91.01)","102.28 (101.64, 102.92)"
42,"46.32 (45.91, 46.72)","52.93 (52.68, 53.18)","56.23 (56.03, 56.43)","61.73 (61.55, 61.92)","68.68 (68.48, 68.87)","76.98 (76.74, 77.21)","85.42 (85.12, 85.73)","90.98 (90.60, 91.35)","102.68 (102.05, 103.31)"
44,"46.43 (46.02, 46.83)","53.06 (52.80, 53.32)","56.37 (56.16, 56.59)","61.90 (61.71, 62.09)","68.87 (68.67, 69.06)","77.19 (76.96, 77.43)","85.67 (85.38, 85.97)","91.24 (90.88, 91.61)","102.99 (102.36, 103.62)"
46,"46.53 (46.11, 46.94)","53.17 (52.91, 53.44)","56.50 (56.28, 56.71)","62.03 (61.83, 62.23)","69.01 (68.81, 69.22)","77.36 (77.13, 77.59)","85.86 (85.56, 86.16)","91.44 (91.08, 91.80)","103.21 (102.59, 103.84)"
48,"46.62 (46.20, 47.04)","53.27 (53.00, 53.54)","56.59 (56.37, 56.82)","62.13 (61.93, 62.33)","69.12 (68.92, 69.33)","77.48 (77.24, 77.71)","85.98 (85.68, 86.28)","91.57 (91.20, 91.93)","103.35 (102.72, 103.98)"
50,"46.69 (46.27, 47.12)","53.34 (53.07, 53.62)","56.67 (56.44, 56.90)","62.20 (62.00, 62.41)","69.19 (68.99, 69.40)","77.54 (77.31, 77.77)","86.04 (85.74, 86.34)","91.63 (91.26, 92.00)","103.41 (102.76, 104.05)"
52,"46.76 (46.33, 47.18)","53.40 (53.12, 53.67)","56.72 (56.49, 56.95)","62.24 (62.04, 62.45)","69.22 (69.02, 69.43)","77.56 (77.32, 77.79)","86.05 (85.74, 86.35)","91.62 (91.25, 92.00)","103.38 (102.73, 104.04)"
54,"46.80 (46.38, 47.23)","53.43 (53.16, 53.70)","56.74 (56.51, 56.97)","62.25 (62.05, 62.46)","69.21 (69.01, 69.42)","77.53 (77.30, 77.77)","86.00 (85.69, 86.31)","91.56 (91.18, 91.95)","103.30 (102.63, 103.96)"
56,"46.83 (46.41, 47.25)","53.44 (53.17, 53.70)","56.74 (56.51, 56.96)","62.23 (62.04, 62.43)","69.17 (68.97, 69.37)","77.46 (77.23, 77.70)","85.91 (85.60, 86.22)","91.45 (91.06, 91.84)","103.15 (102.47, 103.83)"
