Age,1st,5th,10th,25th,50th,75th,90th,95th,99th
20,"27.29 (26.29, 28.28)","33.96 (33.35, 34.58)","37.06 (36.57, 37.55)","41.94 (41.54, 42.34)","47.71 (47.21, 48.21)","54.50 (53.81, 55.19)","61.58 (60.71, 62.45)"," 66.42 ( 65.43,  67.42)"," 77.33 ( 75.64,  79.01)"
22,"27.09 (26.25, 27.93)","33.72 (33.20, 34.24)","36.80 (36.38, 37.22)","41.65 (41.32, 41.98)","47.40 (47.04, 47.76)","54.18 (53.70, 54.65)","61.26 (60.63, 61.88)"," 66.10 ( 65.34,  66.86)"," 77.01 ( 75.55,  78.46)"
24,"26.89 (26.14, 27.64)","33.48 (33.02, 33.94)","36.54 (36.17, 36.91)","41.37 (41.08, 41.66)","47.11 (46.82, 47.40)","53.88 (53.52, 54.25)","60.97 (60.45, 61.49)"," 65.82 ( 65.14,  66.49)"," 76.74 ( 75.40,  78.09)"
26,"26.70 (26.00, 27.40)","33.26 (32.84, 33.68)","36.31 (35.97, 36.65)","41.12 (40.85, 41.39)","46.86 (46.59, 47.13)","53.64 (53.30, 53.98)","60.74 (60.23, 61.25)"," 65.61 ( 64.92,  66.29)"," 76.57 ( 75.26,  77.88)"
28,"26.54 (25.86, 27.21)","33.08 (32.68, 33.48)","36.12 (35.80, 36.43)","40.93 (40.66, 41.19)","46.67 (46.40, 46.94)","53.49 (53.13, 53.84)","60.63 (60.09, 61.16)"," 65.52 ( 64.81,  66.23)"," 76.54 ( 75.25,  77.84)"
30,"26.41 (25.75, 27.07)","32.95 (32.56, 33.34)","35.99 (35.68, 36.30)","40.81 (40.55, 41.07)","46.59 (46.32, 46.86)","53.46 (53.10, 53.82)","60.67 (60.12, 61.21)"," 65.60 ( 64.88,  66.32)"," 76.73 ( 75.46,  78.01)"
32,"26.30 (25.66, 26.95)","32.87 (32.48, 33.26)","35.92 (35.61, 36.24)","40.77 (40.50, 41.04)","46.61 (46.34, 46.88)","53.57 (53.23, 53.91)","60.87 (60.35, 61.39)"," 65.88 ( 65.19,  66.57)"," 77.17 ( 75.91,  78.43)"
34,"26.20 (25.58, 26.83)","32.82 (32.43, 33.21)","35.90 (35.57, 36.23)","40.80 (40.51, 41.09)","46.73 (46.45, 47.01)","53.81 (53.49, 54.14)","61.26 (60.77, 61.74)"," 66.36 ( 65.71,  67.01)"," 77.86 ( 76.62,  79.11)"
36,"26.09 (25.46, 26.71)","32.79 (32.39, 33.18)","35.91 (35.57, 36.26)","40.89 (40.57, 41.20)","46.94 (46.65, 47.23)","54.19 (53.88, 54.51)","61.82 (61.37, 62.27)"," 67.05 ( 66.44,  67.66)"," 78.83 ( 77.56,  80.11)"
38,"25.96 (25.29, 26.62)","32.77 (32.36, 33.17)","35.95 (35.59, 36.31)","41.03 (40.70, 41.36)","47.25 (46.95, 47.54)","54.71 (54.41, 55.01)","62.56 (62.15, 62.98)"," 67.95 ( 67.35,  68.55)"," 80.07 ( 78.66,  81.49)"
40,"25.81 (25.07, 26.55)","32.76 (32.35, 33.17)","36.02 (35.65, 36.38)","41.23 (40.90, 41.56)","47.64 (47.35, 47.94)","55.36 (55.06, 55.66)","63.48 (63.05, 63.92)"," 69.05 ( 68.38,  69.71)"," 81.56 ( 79.84,  83.29)"
42,"25.68 (24.86, 26.51)","32.79 (32.37, 33.21)","36.13 (35.77, 36.49)","41.50 (41.18, 41.82)","48.14 (47.85, 48.43)","56.14 (55.82, 56.47)","64.57 (64.05, 65.09)"," 70.33 ( 69.52,  71.15)"," 83.27 ( 81.15,  85.39)"
44,"25.62 (24.75, 26.50)","32.89 (32.47, 33.31)","36.33 (35.98, 36.68)","41.86 (41.56, 42.17)","48.74 (48.45, 49.03)","57.06 (56.69, 57.43)","65.80 (65.19, 66.42)"," 71.77 ( 70.82,  72.72)"," 85.12 ( 82.74,  87.50)"
46,"25.65 (24.75, 26.55)","33.08 (32.65, 33.52)","36.61 (36.26, 36.96)","42.33 (42.03, 42.62)","49.46 (49.15, 49.76)","58.09 (57.67, 58.51)","67.15 (66.47, 67.83)"," 73.32 ( 72.30,  74.33)"," 87.04 ( 84.66,  89.43)"
48,"25.79 (24.85, 26.72)","33.37 (32.89, 33.84)","36.99 (36.62, 37.36)","42.88 (42.58, 43.18)","50.27 (49.94, 50.59)","59.21 (58.74, 59.67)","68.56 (67.83, 69.30)"," 74.91 ( 73.89,  75.94)"," 88.95 ( 86.75,  91.16)"
50,"26.01 (25.03, 27.00)","33.73 (33.21, 34.26)","37.45 (37.05, 37.84)","43.51 (43.21, 43.82)","51.15 (50.81, 51.48)","60.38 (59.88, 60.89)","70.01 (69.23, 70.79)"," 76.51 ( 75.47,  77.55)"," 90.80 ( 88.81,  92.78)"
52,"26.31 (25.27, 27.35)","34.16 (33.59, 34.73)","37.97 (37.55, 38.39)","44.22 (43.91, 44.52)","52.09 (51.76, 52.43)","61.61 (61.08, 62.14)","71.48 (70.66, 72.30)"," 78.12 ( 77.06,  79.17)"," 92.58 ( 90.77,  94.38)"
54,"26.65 (25.59, 27.71)","34.64 (34.03, 35.24)","38.54 (38.09, 38.99)","44.97 (44.65, 45.29)","53.09 (52.76, 53.42)","62.87 (62.34, 63.40)","72.98 (72.15, 73.80)"," 79.72 ( 78.67,  80.78)"," 94.31 ( 92.64,  95.97)"
56,"27.01 (25.99, 28.03)","35.14 (34.54, 35.74)","39.15 (38.69, 39.60)","45.77 (45.43, 46.11)","54.13 (53.79, 54.46)","64.17 (63.64, 64.69)","74.48 (73.66, 75.30)"," 81.33 ( 80.30,  82.36)"," 96.00 ( 94.44,  97.56)"
58,"27.38 (26.43, 28.33)","35.66 (35.10, 36.23)","39.78 (39.33, 40.22)","46.60 (46.24, 46.96)","55.20 (54.85, 55.55)","65.49 (64.97, 66.00)","76.00 (75.21, 76.79)"," 82.94 ( 81.94,  83.93)"," 97.66 ( 96.17,  99.16)"
60,"27.76 (26.88, 28.63)","36.21 (35.68, 36.73)","40.43 (40.00, 40.87)","47.47 (47.10, 47.84)","56.31 (55.94, 56.68)","66.84 (66.34, 67.35)","77.55 (76.81, 78.28)"," 84.57 ( 83.65,  85.49)"," 99.34 ( 97.93, 100.75)"
62,"28.14 (27.32, 28.96)","36.78 (36.28, 37.28)","41.12 (40.70, 41.55)","48.38 (47.99, 48.77)","57.46 (57.08, 57.85)","68.24 (67.75, 68.73)","79.13 (78.45, 79.80)"," 86.23 ( 85.40,  87.05)","101.05 ( 99.76, 102.35)"
64,"28.54 (27.74, 29.34)","37.37 (36.88, 37.86)","41.84 (41.42, 42.26)","49.31 (48.92, 49.70)","58.64 (58.24, 59.03)","69.64 (69.16, 70.12)","80.70 (80.07, 81.33)"," 87.87 ( 87.12,  88.63)","102.75 (101.55, 103.94)"
66,"28.96 (28.17, 29.76)","37.99 (37.51, 38.47)","42.58 (42.17, 42.98)","50.26 (49.88, 50.63)","59.80 (59.42, 60.19)","71.01 (70.55, 71.47)","82.22 (81.64, 82.81)"," 89.47 ( 88.78,  90.15)","104.37 (103.28, 105.46)"
68,"29.38 (28.58, 30.19)","38.60 (38.12, 39.07)","43.30 (42.91, 43.69)","51.19 (50.84, 51.54)","60.95 (60.58, 61.31)","72.35 (71.92, 72.79)","83.71 (83.16, 84.26)"," 91.01 ( 90.37,  91.65)","105.95 (104.93, 106.96)"
70,"29.75 (28.92, 30.58)","39.16 (38.68, 39.65)","43.99 (43.59, 44.39)","52.08 (51.73, 52.44)","62.05 (61.68, 62.42)","73.65 (73.20, 74.10)","85.15 (84.59, 85.72)"," 92.52 ( 91.85,  93.18)","107.50 (106.43, 108.58)"
72,"30.01 (29.12, 30.89)","39.63 (39.10, 40.16)","44.57 (44.13, 45.02)","52.88 (52.47, 53.30)","63.07 (62.64, 63.51)","74.88 (74.37, 75.38)","86.54 (85.90, 87.18)"," 93.98 ( 93.22,  94.74)","109.05 (107.74, 110.35)"
74,"30.08 (29.12, 31.04)","39.92 (39.34, 40.51)","45.00 (44.50, 45.50)","53.53 (53.06, 54.01)","63.96 (63.47, 64.46)","75.99 (75.42, 76.56)","87.84 (87.11, 88.56)"," 95.37 ( 94.48,  96.26)","110.55 (108.98, 112.12)"
76,"29.93 (28.92, 30.95)","40.01 (39.37, 40.65)","45.22 (44.68, 45.76)","53.99 (53.50, 54.47)","64.66 (64.15, 65.17)","76.93 (76.33, 77.53)","88.97 (88.19, 89.74)"," 96.60 ( 95.65,  97.56)","111.93 (110.29, 113.57)"
78,"29.60 (28.51, 30.70)","39.90 (39.18, 40.63)","45.25 (44.65, 45.85)","54.24 (53.75, 54.73)","65.16 (64.65, 65.66)","77.67 (77.05, 78.28)","89.90 (89.10, 90.71)"," 97.65 ( 96.65,  98.64)","113.13 (111.50, 114.76)"
80,"29.18 (27.99, 30.36)","39.69 (38.87, 40.50)","45.15 (44.48, 45.83)","54.35 (53.83, 54.88)","65.51 (65.00, 66.03)","78.26 (77.64, 78.87)","90.69 (89.88, 91.50)"," 98.54 ( 97.55,  99.53)","114.18 (112.57, 115.79)"
82,"28.73 (27.53, 29.93)","39.43 (38.58, 40.28)","45.01 (44.30, 45.71)","54.40 (53.86, 54.95)","65.79 (65.28, 66.29)","78.75 (78.17, 79.34)","91.38 (90.63, 92.13)"," 99.33 ( 98.41, 100.25)","115.12 (113.58, 116.66)"
84,"28.31 (27.16, 29.47)","39.18 (38.36, 40.01)","44.86 (44.17, 45.55)","54.44 (53.91, 54.98)","66.03 (65.55, 66.51)","79.21 (78.67, 79.75)","92.02 (91.31, 92.72)","100.06 ( 99.19, 100.93)","116.00 (114.50, 117.51)"
86,"27.92 (26.76, 29.07)","38.94 (38.14, 39.74)","44.72 (44.04, 45.39)","54.46 (53.93, 55.00)","66.25 (65.76, 66.74)","79.62 (79.06, 80.19)","92.60 (91.85, 93.35)","100.73 ( 99.80, 101.67)","116.81 (115.23, 118.39)"
88,"27.50 (26.22, 28.78)","38.67 (37.81, 39.53)","44.53 (43.81, 45.26)","54.44 (53.84, 55.05)","66.41 (65.84, 66.98)","79.97 (79.31, 80.62)","93.09 (92.22, 93.96)","101.31 (100.24, 102.38)","117.50 (115.72, 119.27)"
90,"27.00 (25.48, 28.51)","38.33 (37.33, 39.33)","44.28 (43.44, 45.12)","54.35 (53.63, 55.07)","66.49 (65.80, 67.18)","80.22 (79.47, 80.96)","93.48 (92.50, 94.46)","101.76 (100.54, 102.98)","118.05 (116.04, 120.07)"
