Age,_1st,_5th,_10th,_25th,_50th,_75th,_90th,_95th,_99th
20,"45.53 (44.75, 46.31)","51.56 (50.97, 52.14)","54.58 (54.06, 55.10)","59.55 (59.08, 60.02)","65.51 (65.02, 65.99)","72.36 (71.77, 72.95)","79.18 (78.42, 79.94)","83.60 (82.70, 84.49)"," 92.75 ( 91.48,  94.02)"
22,"45.83 (45.20, 46.46)","52.09 (51.66, 52.53)","55.23 (54.85, 55.60)","60.39 (60.06, 60.72)","66.58 (66.23, 66.92)","73.69 (73.25, 74.13)","80.78 (80.20, 81.35)","85.36 (84.67, 86.05)"," 94.87 ( 93.85,  95.89)"
24,"46.18 (45.62, 46.75)","52.66 (52.29, 53.03)","55.90 (55.59, 56.22)","61.25 (60.98, 61.51)","67.65 (67.37, 67.92)","75.00 (74.65, 75.36)","82.33 (81.85, 82.81)","87.08 (86.50, 87.66)"," 96.91 ( 96.03,  97.79)"
26,"46.58 (46.02, 47.14)","53.26 (52.88, 53.63)","56.60 (56.28, 56.91)","62.10 (61.83, 62.37)","68.70 (68.42, 68.97)","76.28 (75.93, 76.62)","83.83 (83.37, 84.28)","88.72 (88.17, 89.26)"," 98.85 ( 98.02,  99.67)"
28,"47.01 (46.43, 47.59)","53.86 (53.46, 54.26)","57.29 (56.95, 57.64)","62.94 (62.64, 63.24)","69.71 (69.41, 70.02)","77.49 (77.13, 77.86)","85.24 (84.78, 85.71)","90.26 (89.71, 90.81)","100.66 ( 99.85, 101.47)"
30,"47.47 (46.87, 48.07)","54.47 (54.05, 54.89)","57.98 (57.61, 58.35)","63.76 (63.43, 64.09)","70.68 (70.35, 71.01)","78.64 (78.25, 79.02)","86.56 (86.08, 87.04)","91.69 (91.14, 92.25)","102.33 (101.52, 103.14)"
32,"47.93 (47.32, 48.54)","55.07 (54.63, 55.50)","58.64 (58.26, 59.03)","64.53 (64.19, 64.88)","71.59 (71.24, 71.93)","79.69 (79.30, 80.09)","87.77 (87.29, 88.26)","93.00 (92.44, 93.56)","103.84 (103.03, 104.65)"
34,"48.40 (47.80, 49.00)","55.65 (55.22, 56.08)","59.28 (58.89, 59.66)","65.26 (64.91, 65.60)","72.42 (72.08, 72.77)","80.66 (80.27, 81.05)","88.86 (88.38, 89.34)","94.17 (93.62, 94.72)","105.18 (104.38, 105.97)"
36,"48.85 (48.27, 49.43)","56.19 (55.78, 56.61)","59.87 (59.50, 60.24)","65.92 (65.59, 66.26)","73.17 (72.84, 73.51)","81.51 (81.14, 81.89)","89.82 (89.36, 90.27)","95.19 (94.66, 95.72)","106.34 (105.56, 107.11)"
38,"49.29 (48.73, 49.84)","56.70 (56.31, 57.09)","60.41 (60.06, 60.76)","66.52 (66.20, 66.83)","73.84 (73.53, 74.15)","82.25 (81.91, 82.60)","90.64 (90.21, 91.06)","96.06 (95.57, 96.56)","107.31 (106.56, 108.06)"
40,"49.70 (49.17, 50.22)","57.15 (56.79, 57.52)","60.89 (60.57, 61.21)","67.04 (66.75, 67.33)","74.41 (74.13, 74.69)","82.88 (82.57, 83.19)","91.32 (90.93, 91.71)","96.78 (96.32, 97.24)","108.10 (107.38, 108.82)"
42,"50.06 (49.56, 50.56)","57.55 (57.21, 57.89)","61.30 (61.00, 61.60)","67.48 (67.21, 67.74)","74.88 (74.62, 75.13)","83.38 (83.10, 83.66)","91.85 (91.50, 92.21)","97.34 (96.91, 97.77)","108.71 (108.01, 109.40)"
44,"50.38 (49.90, 50.86)","57.88 (57.56, 58.21)","61.64 (61.36, 61.92)","67.83 (67.58, 68.07)","75.24 (75.01, 75.47)","83.76 (83.51, 84.01)","92.25 (91.92, 92.57)","97.74 (97.34, 98.14)","109.13 (108.45, 109.80)"
46,"50.65 (50.18, 51.12)","58.15 (57.84, 58.46)","61.90 (61.63, 62.18)","68.09 (67.85, 68.33)","75.50 (75.28, 75.71)","84.02 (83.79, 84.24)","92.50 (92.20, 92.80)","97.99 (97.61, 98.37)","109.38 (108.71, 110.04)"
