Age,_1st,_5th,_10th,_25th,_50th,_75th,_90th,_95th,_99th
20,"95.12 (93.60, 96.65)","102.73 (101.90, 103.6)","106.8 (106.1, 107.5)","113.7 (113.1, 114.2)","121.6 (121.1, 122.1)","130.0 (129.4, 130.6)","138.3 (137.5, 139.1)","143.7 (142.7, 144.7)","154.9 (152.9, 157.0)"
22,"95.30 (94.02, 96.57)","102.91 (102.22, 103.6)","107.0 (106.4, 107.6)","113.9 (113.5, 114.4)","122.0 (121.6, 122.4)","130.6 (130.2, 131.1)","139.2 (138.6, 139.8)","144.8 (144.1, 145.5)","156.6 (154.9, 158.3)"
24,"95.46 (94.34, 96.58)","103.08 (102.48, 103.7)","107.2 (106.7, 107.7)","114.2 (113.8, 114.6)","122.4 (122.0, 122.7)","131.2 (130.9, 131.6)","140.1 (139.6, 140.6)","145.9 (145.2, 146.6)","158.3 (156.6, 160.0)"
26,"95.60 (94.56, 96.65)","103.22 (102.67, 103.8)","107.3 (106.9, 107.8)","114.4 (114.1, 114.8)","122.7 (122.5, 123.0)","131.8 (131.5, 132.2)","140.9 (140.4, 141.5)","147.0 (146.2, 147.8)","159.9 (158.0, 161.9)"
28,"95.71 (94.73, 96.69)","103.33 (102.78, 103.9)","107.5 (107.0, 107.9)","114.6 (114.2, 115.0)","123.1 (122.7, 123.5)","132.4 (131.9, 132.9)","141.8 (141.1, 142.5)","148.0 (147.1, 149.0)","161.6 (159.5, 163.6)"
30,"95.78 (94.85, 96.71)","103.42 (102.83, 104.0)","107.6 (107.1, 108.1)","114.8 (114.3, 115.3)","123.4 (122.9, 123.9)","132.9 (132.3, 133.6)","142.6 (141.8, 143.5)","149.1 (148.0, 150.2)","163.2 (161.1, 165.3)"
32,"95.80 (94.90, 96.69)","103.48 (102.88, 104.1)","107.7 (107.1, 108.2)","115.0 (114.5, 115.5)","123.8 (123.2, 124.3)","133.5 (132.8, 134.2)","143.5 (142.6, 144.4)","150.2 (149.0, 151.4)","164.9 (162.8, 167.1)"
34,"95.78 (94.91, 96.65)","103.51 (102.94, 104.1)","107.8 (107.2, 108.3)","115.2 (114.7, 115.7)","124.1 (123.6, 124.6)","134.1 (133.4, 134.8)","144.4 (143.5, 145.3)","151.4 (150.2, 152.5)","166.7 (164.5, 168.9)"
36,"95.72 (94.85, 96.58)","103.52 (102.98, 104.1)","107.8 (107.4, 108.3)","115.4 (114.9, 115.8)","124.5 (124.0, 124.9)","134.7 (134.1, 135.3)","145.3 (144.4, 146.2)","152.5 (151.3, 153.7)","168.6 (166.4, 170.7)"
38,"95.62 (94.74, 96.49)","103.50 (102.97, 104.0)","107.9 (107.4, 108.3)","115.5 (115.1, 115.9)","124.8 (124.4, 125.2)","135.3 (134.7, 135.8)","146.2 (145.3, 147.1)","153.7 (152.5, 154.9)","170.5 (168.2, 172.7)"
40,"95.47 (94.57, 96.36)","103.46 (102.92, 104.0)","107.9 (107.4, 108.3)","115.7 (115.3, 116.0)","125.1 (124.7, 125.5)","135.8 (135.3, 136.4)","147.1 (146.2, 148.0)","154.9 (153.7, 156.0)","172.4 (170.1, 174.6)"
42,"95.27 (94.33, 96.20)","103.38 (102.84, 103.9)","107.9 (107.4, 108.3)","115.8 (115.4, 116.2)","125.4 (125.1, 125.8)","136.4 (135.9, 137.0)","148.0 (147.2, 148.8)","156.0 (154.9, 157.1)","174.2 (172.0, 176.4)"
44,"95.03 (93.99, 96.07)","103.28 (102.72, 103.8)","107.9 (107.4, 108.3)","115.9 (115.6, 116.3)","125.8 (125.4, 126.1)","137.0 (136.5, 137.5)","148.9 (148.1, 149.6)","157.1 (156.0, 158.2)","175.9 (173.5, 178.2)"
46,"94.79 (93.62, 95.96)","103.18 (102.59, 103.8)","107.8 (107.4, 108.3)","116.0 (115.7, 116.4)","126.1 (125.7, 126.4)","137.5 (137.0, 138.0)","149.7 (148.9, 150.4)","158.1 (157.0, 159.1)","177.3 (174.7, 179.8)"
48,"94.56 (93.36, 95.76)","103.07 (102.48, 103.7)","107.8 (107.4, 108.2)","116.2 (115.8, 116.5)","126.4 (126.1, 126.7)","138.1 (137.6, 138.5)","150.4 (149.7, 151.1)","158.9 (157.9, 160.0)","178.4 (175.7, 181.0)"
50,"94.35 (93.26, 95.44)","102.97 (102.42, 103.5)","107.8 (107.4, 108.2)","116.3 (116.0, 116.6)","126.7 (126.4, 127.0)","138.6 (138.1, 139.0)","151.1 (150.4, 151.8)","159.7 (158.7, 160.7)","179.1 (176.7, 181.6)"
52,"94.16 (93.22, 95.10)","102.87 (102.37, 103.4)","107.8 (107.4, 108.1)","116.4 (116.1, 116.7)","127.0 (126.7, 127.3)","139.0 (138.6, 139.5)","151.7 (151.0, 152.4)","160.4 (159.4, 161.3)","179.7 (177.6, 181.9)"
54,"93.98 (93.14, 94.82)","102.78 (102.29, 103.3)","107.7 (107.3, 108.1)","116.5 (116.2, 116.8)","127.3 (127.0, 127.6)","139.5 (139.1, 139.9)","152.3 (151.6, 152.9)","161.0 (160.1, 161.9)","180.1 (178.2, 182.1)"
